"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-01-11","2025","01","11","","-9.6","","-13.4","","-11.5","","29.5","","0.0","","","M","","M","","M","","","35","","37",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-01-12","2025","01","12","","-12.9","","-25.9","","-19.4","","37.4","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-01-13","2025","01","13","","-21.5","","-26.9","","-24.2","","42.2","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-01-14","2025","01","14","","-18.0","","-28.4","","-23.2","","41.2","","0.0","","","M","","M","","M","","","17","","42",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-01-15","2025","01","15","","2.2","","-18.7","","-8.3","","26.3","","0.0","","","M","","M","","M","","","33","","44",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-01-16","2025","01","16","","0.7","","-8.9","","-4.1","","22.1","","0.0","","","M","","M","","M","","","18","","44",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-01-17","2025","01","17","","2.2","","-19.8","","-8.8","","26.8","","0.0","","","M","","M","","M","","","36","","77",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-01-18","2025","01","18","","-19.4","","-29.5","","-24.5","","42.5","","0.0","","","M","","M","","M","","","34","","36",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-01-19","2025","01","19","","-24.9","","-29.6","","-27.3","","45.3","","0.0","","","M","","M","","M","","","35","","36",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-01-20","2025","01","20","","-27.9","","-32.8","","-30.4","","48.4","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-01-21","2025","01","21","","-12.7","","-29.9","","-21.3","","39.3","","0.0","","","M","","M","","M","","","17","","57",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-01-22","2025","01","22","","-12.6","","-25.4","","-19.0","","37.0","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-01-23","2025","01","23","","-12.4","","-27.2","","-19.8","","37.8","","0.0","","","M","","M","","M","","","19","","51",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-01-24","2025","01","24","","-1.7","","-12.6","","-7.2","","25.2","","0.0","","","M","","M","","M","","","28","","31",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-01-25","2025","01","25","","-4.0","","-15.1","","-9.6","","27.6","","0.0","","","M","","M","","M","","","31","","40",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-01-26","2025","01","26","","-3.3","","-12.3","","-7.8","","25.8","","0.0","","","M","","M","","M","","","25","","55",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-01-27","2025","01","27","","0.1","","-9.6","","-4.8","","22.8","","0.0","","","M","","M","","M","","","33","","33",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-01-28","2025","01","28","","3.5","","-13.7","","-5.1","","23.1","","0.0","","","M","","M","","M","","","29","","36",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-01-29","2025","01","29","","-3.2","","-15.5","","-9.4","","27.4","","0.0","","","M","","M","","M","","","18","","37",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-01-30","2025","01","30","","-2.2","","-13.6","","-7.9","","25.9","","0.0","","","M","","M","","M","","","1","","41",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-01-31","2025","01","31","","-13.7","","-24.5","","-19.1","","37.1","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-02-01","2025","02","01","","-5.6","","-18.7","","-12.2","","30.2","","0.0","","","M","","M","","M","","","11","","40",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-02-02","2025","02","02","","-4.9","","-21.1","","-13.0","","31.0","","0.0","","","M","","M","","M","","","28","","49",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-02-03","2025","02","03","","-19.1","","-23.5","","-21.3","","39.3","","0.0","","","M","","M","","M","","","29","","33",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-02-04","2025","02","04","","-18.2","","-26.9","","-22.6","","40.6","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-02-05","2025","02","05","","-10.2","","-19.5","","-14.9","","32.9","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-02-06","2025","02","06","","-11.6","","-16.8","","-14.2","","32.2","","0.0","","","M","","M","","M","","","31","","48",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-02-07","2025","02","07","","-9.9","","-17.7","","-13.8","","31.8","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-02-08","2025","02","08","","-15.7","","-20.0","","-17.9","","35.9","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-02-09","2025","02","09","","-13.8","","-22.8","","-18.3","","36.3","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-02-10","2025","02","10","","-17.0","","-27.9","","-22.5","","40.5","","0.0","","","M","","M","","M","","","31","","35",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-02-11","2025","02","11","","-18.6","","-29.4","","-24.0","","42.0","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-02-12","2025","02","12","","","M","","M","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-02-13","2025","02","13","","-17.1","","-30.6","","-23.9","","41.9","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-02-14","2025","02","14","","-18.7","","-25.9","","-22.3","","40.3","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-02-15","2025","02","15","","","M","","M","","M","","M","","M","","M","","","","M","","","","","",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-02-16","2025","02","16","","-21.8","","-29.1","","-25.5","","43.5","","0.0","","","M","","M","","M","","","32","","33",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-02-17","2025","02","17","","-22.9","","-31.3","","-27.1","","45.1","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-02-18","2025","02","18","","-20.3","","-31.9","","-26.1","","44.1","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-02-19","2025","02","19","","-17.1","","-28.6","","-22.9","","40.9","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-02-20","2025","02","20","","-13.5","","-27.4","","-20.5","","38.5","","0.0","","","M","","M","","M","","","19","","45",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-02-21","2025","02","21","","-7.2","","-17.3","","-12.3","","30.3","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-02-22","2025","02","22","","-4.9","","-8.5","","-6.7","","24.7","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-02-23","2025","02","23","","3.7","","-9.9","","-3.1","","21.1","","0.0","","","M","","M","","M","","","26","","48",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-02-24","2025","02","24","","3.4","","-1.9","","0.8","","17.2","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-02-25","2025","02","25","","2.6","","-3.6","","-0.5","","18.5","","0.0","","","M","","M","","M","","","19","","34",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-02-26","2025","02","26","","1.8","","-5.6","","-1.9","","19.9","","0.0","","","M","","M","","M","","","33","","45",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-02-27","2025","02","27","","2.8","","-8.3","","-2.8","","20.8","","0.0","","","M","","M","","M","","","31","","65",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-02-28","2025","02","28","","2.9","","-18.2","","-7.7","","25.7","","0.0","","","M","","M","","M","","","36","","47",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-03-01","2025","03","01","","-7.8","","-21.7","","-14.8","","32.8","","0.0","","","M","","M","","M","","","20","","33",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-03-02","2025","03","02","","2.6","","-9.5","","-3.5","","21.5","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-03-03","2025","03","03","","4.6","","-4.7","","-0.1","","18.1","","0.0","","","M","","M","","M","","","4","","32",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-03-04","2025","03","04","","-0.7","","-10.2","","-5.5","","23.5","","0.0","","","M","","M","","M","","","34","","34",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-03-05","2025","03","05","","-1.1","","-14.9","","-8.0","","26.0","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-03-06","2025","03","06","","-1.0","","-10.8","","-5.9","","23.9","","0.0","","","M","","M","","M","","","26","","36",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-03-07","2025","03","07","","-2.0","","-16.2","","-9.1","","27.1","","0.0","","","M","","M","","M","","","17","","31",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-03-08","2025","03","08","","4.5","","-7.2","","-1.4","","19.4","","0.0","","","M","","M","","M","","","21","","33",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-03-09","2025","03","09","","4.5","","-0.9","","1.8","","16.2","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-03-10","2025","03","10","","-0.3","","-16.7","","-8.5","","26.5","","0.0","","","M","","M","","M","","","36","","51",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-03-11","2025","03","11","","0.5","","-18.9","","-9.2","","27.2","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-03-12","2025","03","12","","2.0","","-10.0","","-4.0","","22.0","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-03-13","2025","03","13","","3.0","","-5.8","","-1.4","","19.4","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-03-14","2025","03","14","","4.6","","-6.5","","-1.0","","19.0","","0.0","","","M","","M","","M","","","33","","55",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-03-15","2025","03","15","","-6.1","","-11.2","","-8.7","","26.7","","0.0","","","M","","M","","M","","","33","","52",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-03-16","2025","03","16","","-4.9","","-15.5","","-10.2","","28.2","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-03-17","2025","03","17","","0.1","","-8.1","","-4.0","","22.0","","0.0","","","M","","M","","M","","","4","","35",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-03-18","2025","03","18","","0.7","","-7.5","","-3.4","","21.4","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-03-19","2025","03","19","","2.6","","-7.9","","-2.7","","20.7","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-03-20","2025","03","20","","7.2","","-6.4","","0.4","","17.6","","0.0","","","M","","M","","M","","","1","","63",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-03-21","2025","03","21","","-5.0","","-14.4","","-9.7","","27.7","","0.0","","","M","","M","","M","","","36","","39",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-03-22","2025","03","22","","-2.1","","-15.6","","-8.9","","26.9","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-03-23","2025","03","23","","-0.1","","-10.5","","-5.3","","23.3","","0.0","","","M","","M","","M","","","36","","31",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-03-24","2025","03","24","","5.5","","-12.5","","-3.5","","21.5","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-03-25","2025","03","25","","8.6","","-7.1","","0.8","","17.2","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-03-26","2025","03","26","","11.5","","-3.4","","4.1","","13.9","","0.0","","","M","","M","","M","","","1","","41",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-03-27","2025","03","27","","-0.4","","-7.3","","-3.9","","21.9","","0.0","","","M","","M","","M","","","7","","34",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-03-28","2025","03","28","","-2.4","","-5.2","","-3.8","","21.8","","0.0","","","M","","M","","M","","","4","","42",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-03-29","2025","03","29","","","M","","M","","M","","M","","M","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-03-30","2025","03","30","","-0.3","","-11.6","","-6.0","","24.0","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-03-31","2025","03","31","","1.0","","-14.8","","-6.9","","24.9","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-04-01","2025","04","01","","4.0","","-6.8","","-1.4","","19.4","","0.0","","","M","","M","","M","","","11","","39",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-04-02","2025","04","02","","1.7","","-0.2","","0.8","","17.2","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-04-03","2025","04","03","","3.8","","-1.6","","1.1","","16.9","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-04-04","2025","04","04","","1.3","","-4.7","","-1.7","","19.7","","0.0","","","M","","M","","M","","","29","","31",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-04-05","2025","04","05","","5.3","","-6.0","","-0.4","","18.4","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-04-06","2025","04","06","","1.3","","-6.7","","-2.7","","20.7","","0.0","","","M","","M","","M","","","35","","35",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-04-07","2025","04","07","","-0.2","","-9.5","","-4.9","","22.9","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-04-08","2025","04","08","","7.9","","-6.6","","0.7","","17.3","","0.0","","","M","","M","","M","","","16","","35",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-04-09","2025","04","09","","6.5","","0.7","","3.6","","14.4","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-04-10","2025","04","10","","8.5","","-0.2","","4.2","","13.8","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-04-11","2025","04","11","","15.5","","-2.6","","6.5","","11.5","","0.0","","","M","","M","","M","","","17","","62",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-04-12","2025","04","12","","17.1","","2.8","","10.0","","8.0","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-04-13","2025","04","13","","7.9","","0.6","","4.3","","13.7","","0.0","","","M","","M","","M","","","34","","39",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-04-14","2025","04","14","","6.6","","-2.2","","2.2","","15.8","","0.0","","","M","","M","","M","","","34","","44",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-04-15","2025","04","15","","8.8","","-3.1","","2.9","","15.1","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-04-16","2025","04","16","","15.8","","0.3","","8.1","","9.9","","0.0","","","M","","M","","M","","","15","","49",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-04-17","2025","04","17","","13.2","","1.9","","7.6","","10.4","","0.0","","","M","","M","","M","","","35","","42",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-04-18","2025","04","18","","3.9","","-2.8","","0.6","","17.4","","0.0","","","M","","M","","M","","","32","","34",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-04-19","2025","04","19","","10.6","","-3.4","","3.6","","14.4","","0.0","","","M","","M","","M","","","17","","32",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-04-20","2025","04","20","","20.4","","2.9","","11.7","","6.3","","0.0","","","M","","M","","M","","","20","","62",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-04-21","2025","04","21","","15.3","","5.7","","10.5","","7.5","","0.0","","","M","","M","","M","","","5","","32",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-04-22","2025","04","22","","9.1","","4.1","","6.6","","11.4","","0.0","","","M","","M","","M","","","4","","35",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-04-23","2025","04","23","","12.6","","-0.1","","6.3","","11.7","","0.0","","","M","","M","","M","","","3","","35",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-04-24","2025","04","24","","15.5","","-3.0","","6.3","","11.7","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-04-25","2025","04","25","","17.6","","-0.3","","8.7","","9.3","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-04-26","2025","04","26","","20.3","","-0.3","","10.0","","8.0","","0.0","","","M","","M","","M","","","19","","37",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-04-27","2025","04","27","","13.7","","3.9","","8.8","","9.2","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-04-28","2025","04","28","","6.4","","-3.2","","1.6","","16.4","","0.0","","","M","","M","","M","","","1","","47",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-04-29","2025","04","29","","11.3","","-9.7","","0.8","","17.2","","0.0","","","M","","M","","M","","","17","","44",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-04-30","2025","04","30","","19.9","","4.7","","12.3","","5.7","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-05-01","2025","05","01","","15.8","","1.0","","8.4","","9.6","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-05-02","2025","05","02","","14.1","","-0.3","","6.9","","11.1","","0.0","","","M","","M","","M","","","19","","34",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-05-03","2025","05","03","","22.5","","7.9","","15.2","","2.8","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-05-04","2025","05","04","","29.6","","6.3","","18.0","","0.0","","0.0","","","M","","M","","M","","","19","","41",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-05-05","2025","05","05","","29.1","","10.0","","19.6","","0.0","","1.6","","","M","","M","","M","","","35","","43",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-05-06","2025","05","06","","17.8","","-0.2","","8.8","","9.2","","0.0","","","M","","M","","M","","","1","","34",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-05-07","2025","05","07","","19.8","","-1.0","","9.4","","8.6","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-05-08","2025","05","08","","27.1","","10.2","","18.7","","0.0","","0.7","","","M","","M","","M","","","17","","59",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-05-09","2025","05","09","","19.8","","6.7","","13.3","","4.7","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-05-10","2025","05","10","","25.9","","3.5","","14.7","","3.3","","0.0","","","M","","M","","M","","","18","","51",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-05-11","2025","05","11","","31.3","","14.8","","23.1","","0.0","","5.1","","","M","","M","","M","","","7","","48",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-05-12","2025","05","12","","35.3","","19.4","","27.4","","0.0","","9.4","","","M","","M","","M","","","18","","42",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-05-13","2025","05","13","","36.9","","16.6","","26.8","","0.0","","8.8","","","M","","M","","M","","","3","","56",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-05-14","2025","05","14","","20.5","","8.7","","14.6","","3.4","","0.0","","","M","","M","","M","","","2","","44",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-05-15","2025","05","15","","25.9","","8.7","","17.3","","0.7","","0.0","","","M","","M","","M","","","2","","45",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-05-16","2025","05","16","","13.7","","2.2","","8.0","","10.0","","0.0","","","M","","M","","M","","","1","","57",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-05-17","2025","05","17","","6.4","","1.3","","3.9","","14.1","","0.0","","","M","","M","","M","","","1","","38",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-05-18","2025","05","18","","11.7","","1.9","","6.8","","11.2","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-05-19","2025","05","19","","16.9","","1.9","","9.4","","8.6","","0.0","","","M","","M","","M","","","9","","40",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-05-20","2025","05","20","","16.3","","8.1","","12.2","","5.8","","0.0","","","M","","M","","M","","","7","","36",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-05-21","2025","05","21","","20.6","","7.1","","13.9","","4.1","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-05-22","2025","05","22","","21.1","","3.4","","12.3","","5.7","","0.0","","","M","","M","","M","","","4","","33",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-05-23","2025","05","23","","20.4","","5.8","","13.1","","4.9","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-05-24","2025","05","24","","22.0","","1.5","","11.8","","6.2","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-05-25","2025","05","25","","22.9","","2.2","","12.6","","5.4","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-05-26","2025","05","26","","25.5","","5.0","","15.3","","2.7","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-05-27","2025","05","27","","26.3","","10.6","","18.5","","0.0","","0.5","","","M","","M","","M","","","22","","40",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-05-28","2025","05","28","","26.4","","9.1","","17.8","","0.2","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-05-29","2025","05","29","","27.0","","9.8","","18.4","","0.0","","0.4","","","M","","M","","M","","","30","","33",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-05-30","2025","05","30","","30.0","","11.1","","20.6","","0.0","","2.6","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-05-31","2025","05","31","","30.9","","9.2","","20.1","","0.0","","2.1","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-06-01","2025","06","01","","33.4","","14.6","","24.0","","0.0","","6.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-06-02","2025","06","02","","20.6","","12.9","","16.8","","1.2","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-06-03","2025","06","03","","22.3","","9.2","","15.8","","2.2","","0.0","","","M","","M","","M","","","","M","","M"
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-06-04","2025","06","04","","22.1","","6.7","","14.4","","3.6","","0.0","","","M","","M","","M","","","28","","43",""
"-97.24","49.91","WINNIPEG INTL A","5023227","2025-06-05","2025","06","05","","20.5","","4.4","","12.5","","5.5","","0.0","","","M","","M","","M","","","","M","","M"
